dataset,model,period,mae,rmse,mape,smape
FD001,ARIMAX,post-shock,0.3776903552152139,0.4653523015114221,193.81010693205235,76.42030374180621
FD001,Causal Engine,post-shock,0.4307594812876762,0.5179244942646483,237.85541066280675,84.20097256302782
FD001,Persistence Baseline,post-shock,0.5681118986946295,0.6598459976607302,313.1183612056854,89.25563970999423
FD002,ARIMAX,post-shock,0.0826968794423655,0.0971539664128624,9.994965368919583,9.71238929186346
FD002,Causal Engine,post-shock,1.1261653616375555,1.407324699133471,143.82627283562812,116.33543754494572
FD002,Persistence Baseline,post-shock,1.1298013541061425,1.4114871331350662,144.27133340540988,116.45986419915197
FD003,Causal Engine,post-shock,0.3750871258875886,0.4590846808053113,251.92928382592768,84.30136217134648
FD003,Persistence Baseline,post-shock,0.4345534568388671,0.5160062435736721,299.7470724530137,90.01348416239304
FD003,ARIMAX,post-shock,0.56849852826169,0.6698276517841043,250.83701863418227,128.45913574352844
FD004,ARIMAX,post-shock,0.0801695894882343,0.0941897214910574,9.9931919817875,9.710951653829982
FD004,Causal Engine,post-shock,1.0627662446709325,1.336731920240012,135.69081214130455,115.43712690297208
FD004,Persistence Baseline,post-shock,1.06966197337512,1.347933455180199,137.1820342080349,115.12309347994056
